Start Time,Stop Time,Initial Speaker,From,To,Protocol,Duration,Packets,State,Comments,
3696.997617,3779.849734,10.200.110.100,"""bot56","<sip:bot56@10.200.110.100>""",<sip:bot51@10.200.110.111>,SIP,12:01:22 AM,10,COMPLETED,INVITE 401 200
3697.01052,3779.866483,10.200.110.111,"""bot56","<sip:bot56@10.200.110.111>""",<sip:bot51@10.200.110.100:8551>,SIP,12:01:22 AM,7,COMPLETED,INVITE 200
3996.864229,4067.989987,10.200.110.100,"""bot50","<sip:bot50@10.200.110.100>""",<sip:bot50@10.200.110.111>,SIP,12:01:11 AM,10,COMPLETED,INVITE 401 200
3996.876242,4068.007221,10.200.110.111,"""bot50","<sip:bot50@10.200.110.111>""",<sip:bot50@10.200.110.100:8550>,SIP,12:01:11 AM,7,COMPLETED,INVITE 200
3996.934404,3996.941332,10.200.110.100,"""bot55","<sip:bot55@10.200.110.100>""",<sip:bot64@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
3997.075557,3997.250614,10.200.110.100,"""bot60","<sip:bot60@10.200.110.100>""",<sip:bot62@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
4117.021036,4117.212498,10.200.110.100,"""bot54","<sip:bot54@10.200.110.100>""",<sip:bot63@10.200.110.111>,SIP,12:00:00 AM,9,REJECTED,INVITE 401 480
4237.017618,4314.271731,10.200.110.100,"""bot57","<sip:bot57@10.200.110.100>""",<sip:bot57@10.200.110.111>,SIP,12:01:17 AM,10,COMPLETED,INVITE 401 200
4237.029037,4314.288669,10.200.110.111,"""bot57","<sip:bot57@10.200.110.111>""",<sip:bot57@10.200.110.100:8557>,SIP,12:01:17 AM,7,COMPLETED,INVITE 200
4416.994626,4417.010879,10.200.110.100,"""bot51","<sip:bot51@10.200.110.100>""",<sip:bot62@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
4657.061393,4657.248138,10.200.110.100,"""bot53","<sip:bot53@10.200.110.100>""",<sip:bot61@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
4717.053046,4774.687275,10.200.110.100,"""bot58","<sip:bot58@10.200.110.100>""",<sip:bot50@10.200.110.111>,SIP,12:00:57 AM,10,COMPLETED,INVITE 401 200
4717.064849,4774.704889,10.200.110.111,"""bot58","<sip:bot58@10.200.110.111>""",<sip:bot50@10.200.110.100:8550>,SIP,12:00:57 AM,7,COMPLETED,INVITE 200
4777.00715,4777.084834,10.200.110.100,"""bot56","<sip:bot56@10.200.110.100>""",<sip:bot64@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
4837.081575,4922.232988,10.200.110.100,"""bot60","<sip:bot60@10.200.110.100>""",<sip:bot54@10.200.110.111>,SIP,12:01:25 AM,10,COMPLETED,INVITE 401 200
4837.093146,4922.251249,10.200.110.111,"""bot60","<sip:bot60@10.200.110.111>""",<sip:bot54@10.200.110.100:8554>,SIP,12:01:25 AM,7,COMPLETED,INVITE 200
4897.028466,4950.889874,10.200.110.100,"""bot54","<sip:bot54@10.200.110.100>""",<sip:bot59@10.200.110.111>,SIP,12:00:53 AM,10,COMPLETED,INVITE 401 200
4897.034292,4950.907673,10.200.110.111,"""bot54","<sip:bot54@10.200.110.111>""",<sip:bot59@10.200.110.100:8559>,SIP,12:00:53 AM,7,COMPLETED,INVITE 200
4957.072197,5005.164111,10.200.110.100,"""bot53","<sip:bot53@10.200.110.100>""",<sip:bot59@10.200.110.111>,SIP,12:00:48 AM,10,COMPLETED,INVITE 401 200
4957.084285,5005.181889,10.200.110.111,"""bot53","<sip:bot53@10.200.110.111>""",<sip:bot59@10.200.110.100:8559>,SIP,12:00:48 AM,7,COMPLETED,INVITE 200
5017.00047,5059.725666,10.200.110.100,"""bot52","<sip:bot52@10.200.110.100>""",<sip:bot55@10.200.110.111>,SIP,12:00:42 AM,10,COMPLETED,INVITE 401 200
5017.011809,5059.743712,10.200.110.111,"""bot52","<sip:bot52@10.200.110.111>""",<sip:bot55@10.200.110.100:8555>,SIP,12:00:42 AM,7,COMPLETED,INVITE 200
5076.854873,5159.495454,10.200.110.100,"""bot59","<sip:bot59@10.200.110.100>""",<sip:bot60@10.200.110.111>,SIP,12:01:22 AM,10,COMPLETED,INVITE 401 200
5076.867044,5159.513055,10.200.110.111,"""bot59","<sip:bot59@10.200.110.111>""",<sip:bot60@10.200.110.100:8560>,SIP,12:01:22 AM,7,COMPLETED,INVITE 200
5076.870752,5105.256279,10.200.110.100,"""bot50","<sip:bot50@10.200.110.100>""",<sip:bot60@10.200.110.111>,SIP,12:00:28 AM,10,COMPLETED,INVITE 401 200
5076.881395,5105.274182,10.200.110.111,"""bot50","<sip:bot50@10.200.110.111>""",<sip:bot60@10.200.110.100:8560>,SIP,12:00:28 AM,7,COMPLETED,INVITE 200
5137.025317,5216.54731,10.200.110.100,"""bot57","<sip:bot57@10.200.110.100>""",<sip:bot51@10.200.110.111>,SIP,12:01:19 AM,10,COMPLETED,INVITE 401 200
5137.034739,5216.564613,10.200.110.111,"""bot57","<sip:bot57@10.200.110.111>""",<sip:bot51@10.200.110.100:8551>,SIP,12:01:19 AM,7,COMPLETED,INVITE 200
5196.943923,5196.960794,10.200.110.100,"""bot55","<sip:bot55@10.200.110.100>""",<sip:bot63@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
