Start Time,Stop Time,Initial Speaker,From,To,Protocol,Duration,Packets,State,Comments
3539.883221,3854.453016,10.200.110.100,"""bot45"" <sip:bot45@10.200.110.100>",<sip:bot31@10.200.110.111>,SIP,12:05:14 AM,10,COMPLETED,INVITE 401 200
3539.894649,3854.470317,10.200.110.111,"""bot45"" <sip:bot45@10.200.110.111>",<sip:bot31@10.200.110.100:8531>,SIP,12:05:14 AM,9,COMPLETED,INVITE 200
3539.979626,3540.124864,10.200.110.100,"""bot34"" <sip:bot34@10.200.110.100>",<sip:bot21@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
3659.950006,3669.02615,10.200.110.100,"""bot37"" <sip:bot37@10.200.110.100>",<sip:bot29@10.200.110.111>,SIP,12:00:09 AM,7,REJECTED,INVITE 401 486
3659.951411,3799.105454,10.200.110.111,"""bot29"" <sip:bot29@10.200.110.111>",<sip:bot34@10.200.110.100:8534>,SIP,12:02:19 AM,7,COMPLETED,INVITE 200
3719.894746,4342.755119,10.200.110.100,"""bot43"" <sip:bot43@10.200.110.100>",<sip:bot43@10.200.110.111>,SIP,12:10:22 AM,10,COMPLETED,INVITE 401 200
3719.977307,4342.772546,10.200.110.111,"""bot43"" <sip:bot43@10.200.110.111>",<sip:bot43@10.200.110.100:8543>,SIP,12:10:22 AM,7,COMPLETED,INVITE 200
3779.844467,3787.076778,10.200.110.100,"""bot27"" <sip:bot27@10.200.110.100>",<sip:bot28@10.200.110.111>,SIP,12:00:07 AM,7,REJECTED,INVITE 401 486
3779.855812,3787.072227,10.200.110.111,"""bot27"" <sip:bot27@10.200.110.111>",<sip:bot28@10.200.110.100:8528>,SIP,12:00:07 AM,6,REJECTED,INVITE 486
3839.732451,4151.098247,10.200.110.111,"""bot26"" <sip:bot26@10.200.110.111>",<sip:bot25@10.200.110.100:8525>,SIP,12:05:11 AM,7,COMPLETED,INVITE 200
3839.736956,3844.988401,10.200.110.100,"""bot28"" <sip:bot28@10.200.110.100>",<sip:bot43@10.200.110.111>,SIP,12:00:05 AM,7,REJECTED,INVITE 401 486
3839.746762,3844.983927,10.200.110.111,"""bot28"" <sip:bot28@10.200.110.111>",<sip:bot43@10.200.110.100:8543>,SIP,12:00:05 AM,4,REJECTED,INVITE 486
3959.852444,4218.171633,10.200.110.100,"""bot38"" <sip:bot38@10.200.110.100>",<sip:bot30@10.200.110.111>,SIP,12:04:18 AM,10,COMPLETED,INVITE 401 200
4019.876946,4019.930281,10.200.110.100,"""bot40"" <sip:bot40@10.200.110.100>",<sip:bot23@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
4019.900132,4388.86637,10.200.110.100,"""bot41"" <sip:bot41@10.200.110.100>",<sip:bot33@10.200.110.111>,SIP,12:06:08 AM,10,COMPLETED,INVITE 401 200
4019.921893,4388.873503,10.200.110.111,"""bot41"" <sip:bot41@10.200.110.111>",<sip:bot33@10.200.110.100:8533>,SIP,12:06:08 AM,7,COMPLETED,INVITE 200
4079.983863,4205.09748,10.200.110.100,"""bot25"" <sip:bot25@10.200.110.100>",<sip:bot42@10.200.110.111>,SIP,12:02:05 AM,10,COMPLETED,INVITE 401 200
4079.995013,4205.113625,10.200.110.111,"""bot25"" <sip:bot25@10.200.110.111>",<sip:bot42@10.200.110.100:8542>,SIP,12:02:05 AM,7,COMPLETED,INVITE 200
4199.838193,4751.09498,10.200.110.100,"""bot42"" <sip:bot42@10.200.110.100>",<sip:bot44@10.200.110.111>,SIP,12:09:11 AM,10,COMPLETED,INVITE 401 200
4319.759304,4319.774038,10.200.110.100,"""bot33"" <sip:bot33@10.200.110.100>",<sip:bot47@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
4439.863067,4757.43776,10.200.110.100,"""bot38"" <sip:bot38@10.200.110.100>",<sip:bot35@10.200.110.111>,SIP,12:05:17 AM,10,COMPLETED,INVITE 401 200
4439.882422,4765.140542,10.200.110.100,"""bot32"" <sip:bot32@10.200.110.100>",<sip:bot39@10.200.110.111>,SIP,12:05:25 AM,10,COMPLETED,INVITE 401 200
4439.892728,4440.024036,10.200.110.100,"""bot45"" <sip:bot45@10.200.110.100>",<sip:bot33@10.200.110.111>,SIP,12:00:00 AM,3,REJECTED,INVITE 401
4440.020925,4765.15798,10.200.110.111,"""bot32"" <sip:bot32@10.200.110.111>",<sip:bot39@10.200.110.100:8539>,SIP,12:05:25 AM,7,COMPLETED,INVITE 200
4500.03362,4500.040099,10.200.110.100,"""bot39"" <sip:bot39@10.200.110.100>",<sip:bot46@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
4559.98834,4560.003633,10.200.110.100,"""bot34"" <sip:bot34@10.200.110.100>",<sip:bot21@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
4619.789622,4935.312214,10.200.110.100,"""bot31"" <sip:bot31@10.200.110.100>",<sip:bot33@10.200.110.111>,SIP,12:05:15 AM,10,COMPLETED,INVITE 401 200
4619.801829,4935.329574,10.200.110.111,"""bot31"" <sip:bot31@10.200.110.111>",<sip:bot33@10.200.110.100:8533>,SIP,12:05:15 AM,7,COMPLETED,INVITE 200
4679.747385,5111.208837,10.200.110.100,"""bot28"" <sip:bot28@10.200.110.100>",<sip:bot37@10.200.110.111>,SIP,12:07:11 AM,10,COMPLETED,INVITE 401 200
4679.757568,5111.226338,10.200.110.111,"""bot28"" <sip:bot28@10.200.110.111>",<sip:bot37@10.200.110.100:8537>,SIP,12:07:11 AM,7,COMPLETED,INVITE 200
4739.741403,5292.385996,10.200.110.111,"""bot26"" <sip:bot26@10.200.110.111>",<sip:bot25@10.200.110.100:8525>,SIP,12:09:12 AM,7,COMPLETED,INVITE 200
4739.886557,4992.210019,10.200.110.100,"""bot40"" <sip:bot40@10.200.110.100>",<sip:bot26@10.200.110.111>,SIP,12:04:12 AM,10,COMPLETED,INVITE 401 200
4739.957768,5350.030082,10.200.110.100,"""bot37"" <sip:bot37@10.200.110.100>",<sip:bot26@10.200.110.111>,SIP,12:10:10 AM,10,COMPLETED,INVITE 401 200
4799.908222,5051.183442,10.200.110.100,"""bot41"" <sip:bot41@10.200.110.100>",<sip:bot29@10.200.110.111>,SIP,12:04:11 AM,10,COMPLETED,INVITE 401 200
